Id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,label
0,65615,2,131230,1,65616,1.52401853206535e-05,0,8324,475,7850,3883.0,5022,0.07054597369426682,0.07822835579419683,0.03527593952881162,0.04069626100063208,0.06809494090033129,0.07820968043356381,0.08722678013985227,0.09449686617535642,0.059178541492036885,0.07653737712413321,1.329372554139332e-06,1.4401717012170454e-06,0.11835708298407377,2,0.0116072052138618,0.5773502691896258,0.0034057678162042705,0.3333333333333333,0.0061273220255941944,0.5,0.059178541492036885,1.0,0.003912318865171122,0.5,0.001956159432585561,0.25,1
1,113321,80,9065680,60,113341,0.0005293759539795837,0,1514042,37334,1476768,18427.4375,59461,0.23422589011679423,0.5267557736024875,0.11988747566245965,0.35418447483705523,0.20068082142593419,0.5230963453183484,0.4340543010814978,0.6908299811181348,0.15511174995466864,0.5047166897574148,3.7641153729665615e-06,6.096222069326381e-06,13.009018628497808,73,0.18721460417205837,0.4951293378749534,0.09493195694594483,0.3163265306122449,0.16793760101820715,0.4806201550387597,0.3000153245314657,0.9285714285714286,0.13081485283862573,0.4625,0.0033527180564230296,0.011607142857142858,1
2,188,14,2632,1,201,0.004975124378109453,0,283,24,260,18.285714285714285,27,0.02259439779151906,0.045709238712653415,0.006574425329520857,0.01694915254237288,0.013002435299617445,0.03333333333333333,0.0972644376899696,0.14361702127659576,0.007989317744095135,0.026923076923076925,4.249637097922943e-05,0.0001432078559738134,1.3617021276595744,13,0.05538741999511259,0.4629100498862757,0.026840408151334275,0.3,0.0470879270541018,0.46153846153846156,0.118657937806874,0.9285714285714286,0.03569035787227002,0.42857142857142855,0.0040774184277981695,0.04285714285714286,1
3,33227,14,465178,9,33232,0.00027082330284063555,0,138109,2459,135659,9683.714285714286,18347,0.245924618323081,0.32518131695883046,0.1339312824217798,0.19059795769758345,0.23260843842465162,0.32017182032827923,0.3296637687998719,0.5521714268516568,0.19299107982740088,0.30610647967014776,6.958609650725657e-06,9.796974865423196e-06,4.080175760676558,14,0.13929349571497399,0.6172133998483676,0.0596813006740765,0.4444444444444444,0.10933225771034422,0.6153846153846154,0.30219432123004464,1.0,0.07486802094359274,0.5714285714285714,0.006115801172216448,0.05952380952380952,1
4,85780,247,21187660,200,85827,0.0023302690295594628,0,2034829,97719,1937310,7818.991902834008,39930,0.15207051422920415,0.36732945661991506,0.06542475681290941,0.21748010653420696,0.1191712836195356,0.3572626860463556,0.34144123832036677,0.6799267207537294,0.08605693246429423,0.313471355643789,3.921036156990909e-06,7.926401500976095e-06,22.5144672417813,221,0.15961540065157617,0.5770678676214349,0.07020566568407151,0.40106951871657753,0.12295776811531985,0.5725190839694656,0.37345398006753766,0.95,0.08506498213379682,0.5587044534412956,0.0014873168945885168,0.0038461538461538464,1
5,19544,67,1309448,17,19594,0.0008676125344493212,0,35384,3957,31444,457.1044776119403,6318,0.044745255087191085,0.15783911192778846,0.013826491301937359,0.08391045976497923,0.02676635032831812,0.15482913557854816,0.18008115885592635,0.3983739837398374,0.017002297358040035,0.1296334644854007,8.88738103565274e-06,2.038344165676614e-05,1.5670282439623413,41,0.01635323418399872,0.2738787460663587,0.007032228986706498,0.15306122448979592,0.013808495239480509,0.26548672566371684,0.030842829294140686,0.625,0.010327878193501417,0.22388059701492538,0.0002654063617085618,0.009328358208955223,1
6,85912,159,13660008,121,85950,0.0014077952297847586,0,1092923,60788,1032256,6456.805031446541,30774,0.11728991075179343,0.31030786886989215,0.04976230184961582,0.1815841912985719,0.09139365621366644,0.30735717799170825,0.29953357800607455,0.5984789803534962,0.06911754038007958,0.2902414486921529,3.4162292376699405e-06,6.966186101516625e-06,11.949809106993202,130,0.1217234054340181,0.45203940385934216,0.05299364252865133,0.28217821782178215,0.09597220642139787,0.44015444015444016,0.2683056999975092,0.9166666666666666,0.06761726549813549,0.425,0.0016400436061398376,0.005765199161425576,1
7,8548,21,179508,10,8559,0.0011683607898118939,0,37918,2984,34944,1660.4285714285713,4256,0.11696742841056669,0.1711978162739137,0.051252878174149794,0.09154983528690723,0.09675830322522551,0.16774284110050533,0.22460913369102314,0.49789424426766493,0.06856524286370187,0.13979878334113244,1.1573089192835483e-05,2.9570969028221194e-05,4.079199812821713,20,0.06960143606131974,0.30037570459305535,0.02465126022088754,0.17647058823529413,0.04735637405009214,0.3,0.1959797892345513,0.9523809523809523,0.030346889037881672,0.2857142857142857,0.0015275746732417226,0.023809523809523808,1
8,1748,1,1748,0,1749,0.0,0,121,5,116,115.0,115,0.011931075044855844,0.011931075044855844,0.0020992296739805044,0.0020992296739805044,0.00418966428037962,0.00418966428037962,0.06578947368421052,0.06578947368421052,0.0021637283862349244,0.0021637283862349244,1.2378308845737554e-06,1.2378308845737554e-06,0.06578947368421052,1,0.021917242524246375,0.7071067811865475,0.009771354694028435,0.5,0.015500353728995313,0.6666666666666666,0.06578947368421052,1.0,0.009771354694028435,0.5,0.009771354694028435,0.5,1
9,156905,2,313810,0,156907,0.0,0,1997,48,1949,955.0,1623,0.014026538249962424,0.01843771069642463,0.00484918354638408,0.007929993257307028,0.009632855426486883,0.01573520643369254,0.041705431201233295,0.05054596688974991,0.006086485452981103,0.010343838628469456,2.6580052389173887e-07,3.2214376144641604e-07,0.012172970905962206,2,0.003084861898250827,0.5,0.0016322001419133009,0.3333333333333333,0.0026355958421320014,0.5,0.006086485452981103,1.0,0.0022049180954077344,0.5,0.0011024590477038672,0.25,1
